"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Cycling","Bike","","","","2022-05-20","","1242.97998046875","","","","","0.116416111588478","2.96600008010864","","","","114","139","","","0.651534808785868","5.19","6","0","1","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-05-21","","12874","","","","","1.77251803874969","2.01799988746643","","71","","147","163","","","0.771626161493452","118.6","6","5","10","18","18","24","25","","","","","","","","","","","","","","",""
"Zone 4 Pyramid Run","Run","Warm up in zone 1-2 for 20 minutes then do: 2 minutes in zone 4 on 2 minutes easy recovery in-between 3 minutes in zone 4 on 2 minutes recovery in-between 4 minutes in zone 4 on 2 minutes recovery in-between 3 minutes zone 4 on 2 minutes recovery in-between 2 minutes in zone 4 on 2 minutes easy recovery in-between cool down for 10 minutes in zone 1-2","0.9","","2022-05-24","","48.7900009155273","","","","","0.0229902770370245","0.589999973773956","","38","","87","92","","","0.230377671573529","0.12","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-05-24","","4361.759765625","","","","","0.94228994846344","1.28600001335144","","66","","155","177","","","0.514400005340576","27.58","11","12","4","23","6","0","0","","","","","","","","","","","","","","",""
"Base Building","Bike","Warm Up: -10 minutes Zone 1 main Set: -4 x 19 minutes in Zone 2 with 1 minute of recovery in Zone 1 after each interval","1.5","","2022-05-25","This is a base building workout in Zone 2 broken up by short recoveries in Zone 1","0","","","","","1.57280087471008","0","","","","143","158","","","0.682065704112602","81.98","16","72","1","0","0","0","0","","","","","","","","","","","","","","",""
"Short Sprints With Builds","Swim","Warm up Zone 1: 100 easy swim, 4X50 kick 8X25 Zone 5 sprint 4x50 Zone 5 sprint 2x100 Zone 1 easy 200 Zone 3 150 Zone 1 Pull 4x50 build Zone 4-5 (each one gets faster) 2x100 Zone 4-5 build (each one gets faster) 200 Zone 2b 150 Zone 1 pull 200 Zone 1 easy cool down","0.604444444444444","2011.68005371094","2022-05-25","2200 yards. This workout requires paddles to complete as written, but can be done without. You may kick with or without fins","450","","","","","0.0896150006188287","1.39318885448916","","22","","159","185","","","1.25537018605301","17.73","0","2","3","1","0","0","0","","","","","","","","","","","","","","",""
"Easy Effort spin","Bike","30 minutes in Zone 1","0.5","","2022-05-26","Today is a quick low effort ride before your run","0","","","","","0.524239420890808","0","","","","132","143","","","0.605194636556922","20.93","29","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Zone 5 Hill Repeats","Run","Warm up for 20 minutes in zone 1-2 then do: 15X30 seconds all out zone 5 sprint on 30 seconds recovery in-between. cool down for 20 minutes in zone1-2","0.75","","2022-05-26","This is an excellent treadmill workout. We recommend increasing both the incline and the pace as the workout progresses. Because the rest interval is so short, standing on the side of the treadmill in-between intervals is recommended. If done outside, find a steep hill for repeats, and either jog slowly downhill or walk uphill in-between intervals.","4002.90991210938","","","","","0.567547798156738","1.95899999141693","","70","","149","179","","","0.783599996566772","38.06","13","7","5","8","2","0","0","","","","","","","","","","","","","","",""
"75 Sprints Swim","Swim","Warm Up Zone 1: 200 swim, 200 kick, 200 pull 12x50 Zone 5 free (20 seconds rest) 100 easy 4x25 Zone 5 free sprint on (10 seconds rest) 100 easy 4x50 Zone 5 (on 20 seconds rest) 200 easy 4x75 Zone 5 (on 25 seconds rest) 100 easy 4x100 Zone 5 sprint (rest 20 seconds) 200 Zone 1 cool down","0.701136447058784","2606.56005859375","2022-05-27","2900 yards. This workout requires paddles to be completed as written, but can be done without. You may kick with or without fins.","2000","","","","","0.331994167963664","1.67224080267559","","22","","135","156","","","1.50605055223357","113.41","9","7","0","0","0","0","0","","","","","","","","","","","","","","",""
"Zone 1 run","Run","30 minutes Zone 1","0.5","","2022-05-27","","2284.15991210938","","","","","1.32734394073486","0.477999985218048","","30","","110","147","","","0.16531742432229","4.05","27","2","0","0","0","0","0","","","","","","","","","","","","","","",""
"Endurance Step Ups","Bike","Warm Up: -10 minutes low Zone 1 -15 minutes high Zone 1 Main Set: -3 x 15 minute step ups done as 7 minutes in low Zone 3, 5 minutes in high Zone 3, 3 minutes in low Zone 4 with 10 minutes of recovery in Zone 1 after each interval set Cool Down: 80 minutes in Zones 1-2. Base this effort off of how you are feeling but don't go above Zone 2","3","","2022-05-28","These are tough intervals that will really build strength and speed. Each Interval set is 15 minutes long Starting in low Zone 3 and building up to Zone 4 with 10 minutes of recovery after. The interval set is repeated a total of 3 times.","0","","","","","2.70599007606506","0","","","","137","175","","","0.639940628402306","125.85","119","12","9","20","0","0","0","","","","","","","","","","","","","","",""
"500s Swim","Swim","Warm up Zone 1: 200 swim Main Set: 4x500 Zone 2-3 #1: Moderate pace #2: Moderate pull #3: FAST pull #4: race pace Cool Down Zone 1: 100 easy","0.649555998908149","2103.1201171875","2022-05-29","This workout requires paddles as written, but can be done without. You may drill with or without fins","650","","","","","0.105696667035421","1.70603674540682","","23","","130","149","","","1.53741839319818","38.41","4","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Zone 2 Run","Run","Warm up: 5 minutes in zone 1 Main Set: 70 minutes in zone 2 Cool Down: 5 minutes zone 1","1.33333333333333","","2022-05-29","","8925.7001953125","","","","","1.13431310653687","2.18600010871887","","73","","144","157","","","0.877266818285628","97.05","10","56","0","0","0","0","0","","","","","","","","","","","","","","",""
"Broken 1000","Swim","Warm up Zone 1: 100 drill, 100 swim, 100 kick Broken 1000 Zone 3: 5x100 negative split (second half of the 100 is fatser than the first) 5x100 done as 100 SPRINT, 100 race pace, 100 kick, 100 SPRINT 8x50 Zone 1 25 drill/25 sprint 100 Zone 1 cool down easy","0.539213334189521","1645.92004394531","2022-05-31","3000 yards. You may drill and kick with or without fins.","575","","","","","0.258357226848602","0.712000012397766","","25","","143","160","","","0.71791975939785","14.24","2","10","2","0","0","0","0","","","","","","","","","","","","","","",""
"Zone 3 Intervals","Run","Warm up for 10 minutes in zone 1-2 then do: 4X3 minutes in zone 3 on 2 minutes recovery in-between. cool down for 10 minutes in zone 1-2","0.666666666666667","","2022-05-31","","3510.21997070313","","","","","0.757002234458923","1.28799998760223","","66","","143","170","","","0.515199995040894","22.11","13","19","6","4","0","0","0","","","","","","","","","","","","","","",""
"Easy Effort spin","Bike","30 minutes in Zone 1","0.5","","2022-06-01","This is designed as a low effort ride with a focus on active recovery. This is a great workout to work on maintaining a high cadence if you are used to keeping it under 88","0","","","","","0.638866364955902","0","","","","126","140","","","0.603500372909892","25.49","28","0","0","0","0","0","0","","","","","","","","","","","","","","",""
