Date,WorkoutType,DistanceInMeters,Calories,TimeTotalInHours,HeartRateAverage
2024-06-30,Swim,1.6,378.0,31.116666666666667,144.0
2024-07-03,Bike,33.03,852.0,105.03333333333333,131.0
2024-07-04,RunSwim,607.4,685.0,61.36666666666667,277.0
2024-07-05,Swim,1.35,317.0,31.433333333333334,134.0
2024-07-07,Run,8.24,620.0,56.61666666666667,140.0
2024-07-10,RunSwim,711.1,973.0,80.28333333333333,278.0
2024-07-14,BikeSwim,35.415,1081.0,115.46666666666667,271.0
2024-07-20,Run,5.9,467.0,47.61666666666667,137.0
2024-07-21,Run,2.16,160.0,13.783333333333333,133.0
2024-07-30,SwimSwimSwimRun,1328.66,734.0,75.43666666666667,514.0
2024-08-03,Run,10.14,928.0,146.35,108.0
2024-08-08,Swim,4.0,730.0,71.6,139.0
2024-08-18,Swim,6.35,957.0,87.38333333333334,140.0
2024-08-23,Bike,19.06,428.0,48.93333333333333,125.0
2024-08-27,Swim,2.1,302.0,30.033333333333335,126.0
2024-08-29,Swim,1.2,240.0,15.383333333333333,112.0
2024-09-04,Bike,14.51,367.0,39.8,130.0
