,TOTAL TSS
2023-06-25,141.60884517965334
2023-06-26,
2023-06-27,54.009556907438444
2023-06-28,27.433594878929735
2023-06-29,
2023-06-30,67.97289613017108
2023-07-01,22.730648954733525
2023-07-02,195.21984432844337
2023-07-03,
2023-07-04,24.22628017068689
2023-07-05,33.830883262929476
2023-07-06,
2023-07-07,5.852344130748613
2023-07-08,21.661420435163212
2023-07-09,
2023-07-10,189.62854293164247
2023-07-11,
2023-07-12,49.089771753898894
2023-07-13,11.914565276830523
2023-07-14,
2023-07-15,44.544815632841136
2023-07-16,
2023-07-17,
2023-07-18,47.069900154082355
2023-07-19,
2023-07-20,
2023-07-21,11.710163158477375
2023-07-22,20.31169706276739
2023-07-23,128.77243337360807
2023-07-24,
2023-07-25,47.162512951100325
2023-07-26,
2023-07-27,
2023-07-28,
2023-07-29,4.584375049598903
2023-07-30,
2023-07-31,
2023-08-01,36.44403377795082
2023-08-02,39.25767329527885
2023-08-03,
2023-08-04,
2023-08-05,16.797758962666943
2023-08-06,
2023-08-07,
2023-08-08,20.557678386932356
2023-08-09,
2023-08-10,
2023-08-11,51.95903305839171
2023-08-12,
2023-08-13,62.33311840824961
2023-08-14,
2023-08-15,
2023-08-16,
2023-08-17,
2023-08-18,
2023-08-19,
2023-08-20,469.46962878943714
2023-08-21,
2023-08-22,
2023-08-23,
2023-08-24,2.5540704196986272
2023-08-25,10.790284919554827
2023-08-26,60.155636197549384
2023-08-27,8.262663630665232
2023-08-28,
2023-08-29,
2023-08-30,
2023-08-31,151.01374530353254
2023-09-01,
2023-09-02,
2023-09-03,
2023-09-04,
2023-09-05,
2023-09-06,
2023-09-07,
2023-09-08,49.36490633548885
2023-09-09,
2023-09-10,
2023-09-11,42.89069702485077
2023-09-12,
2023-09-13,35.45063951777156
2023-09-14,5.035668384116098
2023-09-15,64.99292237008451
2023-09-16,
2023-09-17,48.71866194311602
2023-09-18,76.91092529296859
2023-09-19,
2023-09-20,24.529547731498305
2023-09-21,6.859921936812624
2023-09-22,85.30691768911215
2023-09-23,7.724799381659012
2023-09-24,
2023-09-25,
2023-09-26,28.235595837946896
2023-09-27,19.452394919815973
2023-09-28,65.11891879727298
2023-09-29,18.378961031703877
2023-09-30,80.68279098889568
2023-10-01,
2023-10-02,
2023-10-03,
2023-10-04,15.520854116007513
2023-10-05,18.376019767687307
2023-10-06,
2023-10-07,32.792769122600866
2023-10-08,56.33111840520309
2023-10-09,
2023-10-10,42.97484552328576
2023-10-11,
2023-10-12,18.60096570483225
2023-10-13,14.689613285487543
2023-10-14,56.113522549599026
2023-10-15,54.77890805495014
2023-10-16,11.26476651566811
2023-10-17,
2023-10-18,
2023-10-19,15.417379194780983
2023-10-20,37.59642917438339
2023-10-21,
2023-10-22,53.34324469855467
2023-10-23,
2023-10-24,12.980254455787946
2023-10-25,50.28272813712269
2023-10-26,37.17646160706403
2023-10-27,
2023-10-28,51.93557735580131
2023-10-29,46.58088516321064
2023-10-30,12.245869641107035
2023-10-31,2.1791873145694582
2023-11-01,
2023-11-02,
