Date,WorkoutType,Title,HeartRateAverage,TimeTotalInHours,DistanceInMeters,Calories
2023-05-13,Bike,Vincennes - Muscular Endurance broken interv,134.0,1.7133333333333334,45810.0,843.0
2023-05-14,Swim,Natación en piscina,131.0,1.07,3025.0,692.0
2023-05-14,Run,Zone 2 Run,148.0,1.1883333333333332,11500.0,838.0
2023-05-18,Run,Entrenamiento en cinta,134.0,0.11572222222222223,1000.0,74.0
2023-05-19,Run,Zone 3 Intervals,140.0,0.35833333333333334,3000.0,240.0
2023-05-20,Bike,Vincennes - Vo2 intervals,141.0,1.2902777777777779,33480.0,738.0
2023-05-20,Run,Saint-Mandé Carrera,109.0,0.03244444444444444,200.0,15.0
2023-05-21,Swim,Natación en piscina,135.0,0.8225,2025.0,504.0
2023-05-21,Run,Zone 2 Run,160.0,0.5033333333333333,5450.0,401.0
2023-05-25,Run,Zone 3 Intervals,150.0,0.8630555555555556,8770.0,600.0
2023-05-26,Swim,Natación en piscina,137.0,0.4197222222222222,1225.0,276.0
2023-05-27,Swim,Natación en piscina,125.0,0.7466666666666667,1875.0,388.0
2023-05-27,Run,Vincennes - Zone 2 Run,137.0,1.0827777777777778,8470.0,659.0
2023-05-28,Bike,Saint-Mandé - Muscular Endurance with step dow,146.0,1.5177777777777777,40670.0,915.0
2023-05-30,Run,Saint-Mandé - Zone 3 Intervals,143.0,0.9266666666666666,8250.0,623.0
2023-06-06,Run,Saint-Mandé - Zone 4 Pyramid Run,146.0,0.7166666666666667,6420.0,490.0
2023-06-07,Swim,Natación en piscina,127.0,0.5483333333333333,1550.0,309.0
2023-06-08,Bike,Vincennes - Easy Effort spin,116.0,0.47333333333333333,11100.0,220.0
2023-06-08,Run,Saint-Mandé - Zone 5 Hill Repeats,152.0,0.4325,4000.0,323.0
2023-06-09,Swim,Natación en piscina,131.0,1.2105555555555556,3275.0,659.0
2023-06-09,Run,Vincennes - Zone 1 run,136.0,0.47305555555555556,3940.0,307.0
2023-06-10,Bike,Saint-Mandé - Endurance Step Ups,141.0,2.007222222222222,51060.0,1067.0
